,Compound,Negative,Neutral,Positive,Source,Tweet,Tweet Time,Tweets Ago
29,0.6249,0.0,0.779,0.221,CBS,"The tribe has spoken, and they do a pretty decent @JeffProbst impression just in time for the @survivorcbs Season P… https://t.co/2Ps8VKblay",2018-09-26 19:57:54+00:00,30
28,0.1139,0.0,0.929,0.071,CBS,Sixteen houseguests entered and now it's down to the Final 3. Don't miss a second of the 90-minute #BB20Finale toni… https://t.co/KwDHR9Hfqu,2018-09-26 21:49:27+00:00,29
27,0.0,0.0,1.0,0.0,CBS,@BSkyjackcity @jokersupdates @CBSAllAccess On it. https://t.co/yxKX9ry7fw,2018-09-27 00:42:15+00:00,28
26,0.0,0.0,1.0,0.0,CBS,@queenmama7777 @CBSAllAccess We believe in you! https://t.co/ZK0xaPRxVr,2018-09-27 00:44:13+00:00,27
25,-0.34,0.25,0.581,0.169,CBS,@marlagardner222 @jay_hernandez Good idea. The theme song is a dead giveaway. 😉,2018-09-27 16:58:08+00:00,26
24,0.0,0.0,1.0,0.0,CBS,"Candice Bergen tells @colbertlateshow the presidential way tonight's @MurphyBrownCBS premiere imitates life, albeit… https://t.co/4Kbk8gt6nS",2018-09-27 17:19:16+00:00,25
23,0.0,0.0,1.0,0.0,CBS,RT @MurphyBrownCBS: A moment 20 years in the making all comes down to this. #MurphyBrown returns to @CBS tonight! https://t.co/tWSMFM3YbG,2018-09-27 20:01:53+00:00,24
22,0.0,0.0,1.0,0.0,CBS,.@TheNeighborhood's @iamgreenfield revealing his Fiddler on the Roof goals on @latelateshow will be the earworm you… https://t.co/swbh8HPwA1,2018-09-27 20:19:18+00:00,23
21,0.0,0.0,1.0,0.0,CBS,"⚡️ “Murphy Brown Returns to CBS”

https://t.co/3vsAg7WcB1",2018-09-28 16:51:50+00:00,22
20,0.0,0.0,1.0,0.0,CBS,"If you haven't seen @SEALTeamCBS, make it your mission to know them before the #SEALTeam Season 2 premiere October… https://t.co/NhCPI3lZSV",2018-09-28 17:52:41+00:00,21
19,0.0,0.0,1.0,0.0,CBS,".@happytogether's @wayansjr, @HereIsGina &amp; @latelateshow discuss the pros and cons of living with a pop star. Con:… https://t.co/PLXFxfheW7",2018-09-28 20:16:14+00:00,20
18,0.0,0.0,1.0,0.0,CBS,"On @colbertlateshow, @TheNeighborhood's @CedEntertainer and Stephen recall the first time they met on a night when… https://t.co/vjz1zVg4sR",2018-09-28 22:22:01+00:00,19
17,0.0,0.0,1.0,0.0,CBS,RT @CBSAllAccess: Stream NFL on CBS LIVE today starting at 1pm ET on CBS All Access! 🏈 https://t.co/vsod8jYeZl https://t.co/UBp3R4UCAd,2018-09-30 14:34:18+00:00,18
16,0.6124,0.0,0.81,0.19,CBS,The cast of @GodFriendedMe answers some heavenly questions about social media before the show premieres tonight aft… https://t.co/61Tx2GTn35,2018-09-30 17:00:00+00:00,17
